Ullrich, Hortense;1000 Gründe, nicht Amor zu spielen;ro ro ro;3499214067
Kreuter, Margot;... und schreib auch mal!;Schneider;3505097837
Brezina, Thomas;13 Stunden in der Geisterbahn;Schneider;3505107883
Marzinek-Späth, Edel; Das große Pferdelexikon A-Z (IV);Egmont Franz Schneider;3505114553
Schwartz, Theo;3 x schwarzer Kater;Egmont Franz Schneider;3505117099
Schaeder, Burkhard (Hrsg.); Wortspiel (I);Schroedel;3507410303
Friedrich, Joachim;3 mit Papagei retten das Schlossgespenst;Thienemann;3522178319
Friedrich, Joachim;3 mit Papagei jagen den Tresorknacker;Thienemann;3522178629
Friedrich, Joachim;3 mit Papagei öffnen die Schatzkammer;Thienemann;3522180895
Grosche, Erwin;3 x täglich pusten;Gabriel;3522300920
Dölling, Beate;(K)ein Schwein liebt mich;Thienemann;3522435583
Krüss, James;1x1=1, der Kasper fährt nach Mainz;Carlsen;3551043779
Röckener, Andreas;2 freche Hühner;Carlsen;3551057494
Radunsky, Vladimir;10 (zehn);Carlsen;3551516006
Unbekannt; Löwenzahn Kinder Lexikon (Thema: Der Mensch);Junker, Axel, Verlag, München;3558720814
Bartos-Höppner, Barbara;24 Ostergeschichten;Bertelsmann;3570035972
Gissy, Peter;1492. Das geheime Manuskript;Cbj;3570127990
Stine, R. L.;... und der Schneemensch geht um;Omnibus;3570203999
Winkler, Ralph~Winkler, Dieter;1:0 für Coole Kicker;Bertelsmann;3570213641
Kleinelümern-Depping, Antje; Mein erstes Bildlexikon der Tiere (I);Bertelsmann Lexikon Verlag;3577104902
Krüss, James~Kuhl, Anke;3 x 3 an einem Tag;Fischer Schatzinsel;3596851645
Schweikart, Eva und Hans-Jürgen; Kinderlexikon - Mein Körper (I);Naumann & Göbel, Köln;3625204592
Lunkenbein, Marilis~Knospe, Karl; Mein großes Buch der Namenspatrone (I);Pattloch;3629000746
Verschiedene;15 starke Abenteuergeschichten;ars Edition;3760715087
Verschiedene Autoren;15 spannende Gruselgeschichten;ars Edition;3760715095
Wilhelmi, Friederike; Warum schmeckt das Meer nach Salz? - Spannende Fragen & verblüffende Antworten zur Natur (I);ars Edition;3760715540
Wagner, Eva; Das Wetter & Naturkatastrophen - Beobachten & Erforschen (II);ars Edition;3760715648
Leopé;1, 2, 3, - Räuberzählerei (Neuausgabe);ars Edition;3760724620
Johnson, Jinny~Setford, Steve~u.a.; Das große Tierlexikon (I);ars Edition;3760724906
Drake, Ernest; Drachologie - Ein Kurs für Drachenforscher - Aufspüren und Zähmen (I);ars Edition;3760725635
Lance, Sir Geoffrey de; Ritter Handbuch - Wie werde ich ein Ritter? (I);ars Edition;3760725902
Matthews, John; Piraten (I);ars Edition;3760726003
Zoschke, Barbara;11 Kicker & ein fieses Foul;ars Edition;3760740456
Stonehouse, Bernard~Francis, John; Tiere in unseren Wäldern (I);ars Edition;3760747558
Stonehouse, Bernard~Francis, John; Tiere in unseren Feldern und Wiesen (I);ars Edition;3760747760
Born, Sigrid~Würth, Nicole;[R]echt cool! / Kinder fragen nach ihren Rechten - prominente Juristen antworten (Teil 1);ars Edition;3760748228
Dungworth, Richard; Pop-up-Buch Dinosaurier (II);ars Edition;3760749054
Ackroyd, Dorothea;10 kleine Engelchen;ars Edition;3760778364
Würmli, Marcus; Der Kinder Brockhaus (in drei Bänden) (I);Brockhaus, Mannheim;3765318043
